t_seconds,timestamp,kind,detail,magnitude
228.767,03:48.767,subfixation,MAIN_MONITOR_UPPER az=-2.9 el=-5.9 share=0.07,8.4186
230.433,03:50.433,subfixation,MAIN_MONITOR_RIGHT az=+4.4 el=-11.2 share=0.33,9.0248
231.067,03:51.067,blink,dur=175ms depth=0.98,0.9778
233.267,03:53.267,subfixation,MAIN_MONITOR_LEFT az=-14.2 el=-11.9 share=0.53,18.6781
235.667,03:55.667,attention,MAIN_MONITOR_CENTER az=-2.3 el=-11.1 share=0.34,11.9841
235.767,03:55.767,expression,eye_engage peak=0.195 dur=1.93s,0.1954
237.100,03:57.100,subfixation,MAIN_MONITOR_LEFT az=-13.1 el=-12.6 share=0.52,10.9695
237.200,03:57.200,blink,dur=261ms depth=0.97,0.9713
238.267,03:58.267,attention,DESK_MOUSE az=-12.9 el=-30.2 share=0.66,17.5657
238.933,03:58.933,blink,dur=236ms depth=0.97,0.9717
241.267,04:01.267,attention,CAMERA_LENS az=+0.6 el=+1.1 share=0.00,34.0525
243.400,04:03.400,posture_shift,"to=(+0.0102,+0.0025) dur=1.14s",0.0322
243.967,04:03.967,blink,dur=183ms depth=0.97,0.9652
248.833,04:08.833,expression,jaw_release peak=0.269 dur=2.73s,0.2685
249.833,04:09.833,attention,MAIN_MONITOR_CENTER az=-4.5 el=-11.9 share=0.39,13.9453
250.367,04:10.367,state_change,IDLE_RELAXED -> READING,0.0000
250.367,04:10.367,subfixation,MAIN_MONITOR_LEFT az=-15.6 el=-11.2 share=0.88,11.1534
250.667,04:10.667,blink,dur=182ms depth=0.98,0.9808
250.867,04:10.867,head_yaw,"to=(+2.34,-1.49,+0.30)deg dur=0.88s",1.4792
252.267,04:12.267,subfixation,MAIN_MONITOR_UPPER az=-3.6 el=-5.9 share=0.17,13.1135
253.700,04:13.700,attention,MAIN_MONITOR_LOWER az=-5.2 el=-16.0 share=0.85,10.2652
256.333,04:16.333,subfixation,MAIN_MONITOR_CENTER az=-4.0 el=-11.7 share=0.65,4.4696
257.700,04:17.700,attention,MAIN_MONITOR_RIGHT az=+7.6 el=-10.5 share=0.61,11.7044
258.733,04:18.733,attention,MAIN_MONITOR_LOWER az=-5.0 el=-19.4 share=0.88,15.4081
259.767,04:19.767,subfixation,MAIN_MONITOR_UPPER az=-3.4 el=-5.0 share=0.03,14.4514
260.400,04:20.400,blink,dur=228ms depth=0.97,0.9671
260.800,04:20.800,subfixation,MAIN_MONITOR_RIGHT az=+7.1 el=-11.7 share=0.65,12.4732
262.600,04:22.600,state_change,READING -> IDLE_ATTENTIVE,0.0000
262.867,04:22.867,attention,CAMERA_LENS az=-0.6 el=+0.8 share=0.00,14.6854
264.233,04:24.233,expression,brow_tension peak=0.207 dur=2.37s,0.2065
269.033,04:29.033,attention,MAIN_MONITOR_CENTER az=-6.3 el=-11.4 share=0.47,13.4421
269.533,04:29.533,subfixation,MAIN_MONITOR_UPPER az=-2.6 el=-5.9 share=0.08,6.5887
270.500,04:30.500,subfixation,MAIN_MONITOR_RIGHT az=+6.8 el=-10.8 share=0.41,10.5815
273.700,04:33.700,blink,dur=233ms depth=0.99,0.9862
274.200,04:34.200,subfixation,MAIN_MONITOR_CENTER az=-4.0 el=-12.6 share=0.48,10.9468
275.067,04:35.067,subfixation,MAIN_MONITOR_LOWER az=-4.3 el=-17.5 share=0.63,4.8791
276.700,04:36.700,head_yaw,"to=(-2.69,+0.11,+0.42)deg dur=2.00s",5.0346
278.467,04:38.467,attention,MAIN_MONITOR_LEFT az=-12.0 el=-11.9 share=0.56,9.5041
278.933,04:38.933,subfixation,MAIN_MONITOR_UPPER az=-3.6 el=-8.4 share=0.26,9.0624
278.967,04:38.967,blink,dur=247ms depth=0.98,0.9770
279.833,04:39.833,attention,THINKING_POINT_LEFT az=-24.2 el=+13.2 share=0.77,29.8601
280.700,04:40.700,subfixation,THINKING_POINT_RIGHT az=+21.7 el=+12.2 share=0.70,45.8528
282.000,04:42.000,blink,dur=221ms depth=0.97,0.9690
282.633,04:42.633,attention,CAMERA_LENS az=+0.2 el=+1.1 share=0.00,24.1688
283.567,04:43.567,blink,dur=150ms depth=0.96,0.9645
284.567,04:44.567,expression,mouth_settle peak=0.150 dur=2.43s,0.1503
285.433,04:45.433,blink,dur=224ms depth=0.99,0.9927
286.900,04:46.900,attention,MAIN_MONITOR_CENTER az=-3.7 el=-11.5 share=0.43,13.1991
287.433,04:47.433,subfixation,MAIN_MONITOR_LEFT az=-15.6 el=-12.1 share=0.65,11.8934
288.833,04:48.833,attention,DESK_MOUSE az=-13.2 el=-31.0 share=0.77,19.0291
289.433,04:49.433,subfixation,DESK_GENERAL az=+7.6 el=-29.7 share=0.77,20.8512
290.467,04:50.467,attention,CAMERA_LENS az=+1.1 el=+1.7 share=0.00,32.0029
292.033,04:52.033,head_yaw,"to=(-0.08,+0.91,-0.02)deg dur=1.24s",2.6167
292.067,04:52.067,blink,dur=188ms depth=0.98,0.9806
295.100,04:55.100,blink,dur=179ms depth=0.98,0.9807
295.367,04:55.367,double_blink_second,dur=238ms depth=0.99,0.9926
296.567,04:56.567,attention,MAIN_MONITOR_LOWER az=-6.7 el=-17.2 share=0.64,20.4442
297.833,04:57.833,subfixation,MAIN_MONITOR_CENTER az=-3.8 el=-12.4 share=0.47,5.6474
299.733,04:59.733,blink,dur=177ms depth=1.00,0.9987
